University Name,URL,Type
Adelphi University,,University
Appalachian State University,,University
Austin Peay State University,,University
Baldwin-Wallace Conservatory of Music,,Conservatory
Ball State University,,University
Bard College Conservatory of Music,,Conservatory
Belmont University,,University
Berklee College of Music,,University
"Blair School of Music, Vanderbilt University",,University
Bob Jones University,,University
Boston Conservatory at Berklee,,Conservatory
Boston University,,University
Bowling Green State University,,University
Brevard College,,University
Brigham Young University,,University
Butler University,,University
California Institute of the Arts,,University
"California State University, Chico",,University
"California State University, Long Beach",,University
"California State University, Northridge",,University
"California State University, Sacramento",,University
"California State University, Stanislaus",,University
Campbellsville University,,University
Capital University,,University
Carnegie Mellon School of Music,,University
Catholic University's Benjamin T. Rome School of Music,,University
Central Michigan University,,University
Central Washington University,,University
Chicago College of Performing Arts,,University
Christopher Newport University,,University
City College of New York,,University
Cleveland Institute of Music,,University
Cleveland State University,,University
Colorado State University,,University
Conservatory of Music of Puerto Rico,,Conservatory
Converse University,,University
Cornish College of the Arts,,University
Crane School of Music,,University
Crown College of the Bible,,University
Curtis Institute of Music,,University
DePaul University,,University
DePauw University,,University
Duquesne University,,University
East Carolina University,,University
East Central University,,University
Eastman School of Music,,University
Five Towns College,,University
Florida Atlantic University,,University
Florida State University College of Music,,University
Full Sail University,,University
Furman University,,University
George Mason University,,University
Gettysburg College,,University
Hartt School of Music,,University
High Point University,,University
Houston Christian University,,University
Hunter College,,University
Idaho State University,,University
Illinois State University,,University
Indiana University,,University
Indiana University of Pennsylvania,,University
Iowa State University,,University
Ithaca College School of Music,,University
James Madison University,,University
Kansas State University,,University
Kean University,,University
Kent State University,,University
Lawrence Conservatory of Music,,Conservatory
Lebanon Valley College,,University
Lee University,,University
Liberty University,,University
Longwood University,,University
Longy School of Music,,University
Louisiana Tech University,,University
Manhattan School of Music,,University
Mannes College of Music,,University
Marist College,,University
Marshall University,,University
McNally Smith College of Music,,University
Middle Tennessee State University,,University
Midwestern State University,,University
Missouri State University,,University
New England Conservatory of Music,,Conservatory
New Jersey City University,,University
New York University,,University
North Dakota State University,,University
North Park University,,University
Northeastern Illinois University,,University
Northern Illinois University,,University
Northwest University,,University
Northwestern State University,,University
Northwestern University,,University
Oberlin Conservatory,,Conservatory
Ohio State University,,University
Ohio University,,University
Oklahoma City University,,University
Palm Beach Atlantic University,,University
Palm Beach State College,,University
Peabody Conservatory,,Conservatory
Portland State University,,University
Rice University,,University
Roberts Wesleyan University,,University
Rollins College,,University
Rowan University,,University
Sam Houston State University,,University
San Francisco Conservatory of Music,,Conservatory
Shenandoah Conservatory,,Conservatory
Shepherd University,,University
Southern Illinois University Carbondale,,University
Southern Methodist University,,University
St. Cloud State University,,University
Stephen F. Austin State University,,University
Stetson University,,University
Stony Brook University,,University
Sweet Briar College,,University
Syracuse University,,University
Temple University,,University
Tennessee Technological University,,University
Texas A&M University-Commerce,,University
Texas Christian University,,University
Texas Lutheran University,,University
Texas Tech University,,University
The College of New Jersey,,University
The Indiana College of Music,,University
The Pennsylvania State University,,University
The University of Akron,,University
The University of Alabama,,University
"University of California, Berkeley",,University
"University of California, Davis",,University
"University of California, Irvine",,University
"University of California, Los Angeles",,University
"University of California, Riverside",,University
"University of California, San Diego",,University
"University of California, Santa Barbara",,University
"University of California, Santa Cruz",,University
University of Central Florida,,University
University of Central Oklahoma,,University
University of Cincinnati College-Conservatory of Music,,Conservatory
University of Colorado Boulder,,University
"University of Connecticut, Storrs",,University
University of Florida,,University
University of Houston,,University
University of Idaho,,University
University of Illinois,,University
University of Illinois at Chicago,,University
University of Iowa School of Music,,University
University of Kansas,,University
University of Kentucky,,University
University of Louisville,,University
University of Maine,,University
University of Maryland School of Music,,University
University of Massachusetts Amherst,,University
University of Memphis,,University
University of Miami,,University
"University of Michigan School of Music, Theatre & Dance",,University
University of Minnesota-Duluth,,University
University of Minnesota-Twin Cities,,University
University of Mississippi,,University
University of Missouri School of Music,,University
University of Missouri-Kansas City,,University
"University of Nevada, Las Vegas",,University
University of North Carolina School of the Arts,,University
University of North Carolina at Greensboro,,University
University of North Florida,,University
University of North Texas College of Music,,University
University of Northern Colorado,,University
University of Northern Iowa School of Music,,University
University of Oklahoma,,University
University of Oregon,,University
University of Redlands,,University
University of South Carolina,,University
University of South Florida,,University
University of Southern California,,University
University of Southern Mississippi,,University
University of Tampa,,University
"University of Tennessee, Knoxville",,University
"University of Tennessee, Martin",,University
University of Texas,,University
University of Utah,,University
University of Washington,,University
University of Wisconsin–Madison,,University
University of Wisconsin–Milwaukee,,University
University of the Arts,,University
University of the Pacific,,University
Utah State University,,University
VanderCook College of Music,,University
Virginia Commonwealth University,,University
Virginia Polytechnic Institute and State University,,University
West Chester University of Pennsylvania,,University
West Virginia State University,,University
West Virginia University,,University
Western Connecticut State University,,University
Western Kentucky University,,University
Western Michigan University,,University
Westminster Choir College,,University
Wheaton College Conservatory of Music,,Conservatory
Wichita State University,,University
William Paterson University,,University
Wright State University,,University
Yale University,,University
Youngstown State University,,University
