University Name,URL,Missing_Count,Total_Faculty,Faculty_Names
Adelphi University,http://adelphi.edu,1,1,Larry Witmer
Austin Peay State University,http://www.apsu.edu,1,1,Evan Clifton
Baldwin-Wallace Conservatory of Music,http://www.bw.edu/academics/conservatory,2,2,Andrew Mitchell; Richard Stout
Blair School of Music Vanderbilt University,,1,2,Jonathan Salcedo
Christopher Newport University,http://www.cnu.edu,1,1,Christopher Espy
Cleveland State University,http://www.csuohio.edu,2,2,Shachar Israel; J.C. Sherman
Cornish College of the Arts,http://www.cornish.edu/,1,1,Beserat Tafesse
Crane School of Music,http://www.potsdam.edu/CRANE,1,1,Christopher Hernacki
Curtis Institute of Music,http://curtis.edu,5,5,Matthew Vaughn; Paul Bryan; Nitzan Haroz; Blair Bollinger; Paul Krzywicki
Duquesne University,http://www.duq.edu,2,3,Jeff Bush; James Nova
George Mason University,https://www.gmu.edu/,2,2,Prof. Aaron Eckert; Prof. Katie Franke
Indiana University,http://bloomington.iu.edu,2,4,Wayne Wallace; Denson Paul Pollard
Liberty University,https://www.liberty.edu/,1,1,Dr. Kevin Chiarizzio
Manhattan School of Music,http://msmnyc.edu,6,7,Haim Avitsur; Per Brevig; George Curran; Sasha Romero; David Taylor; Colin Williams
Mannes College of Music,http://www.newschool.edu/mannes,5,5,Demian Austin; Sasha Romero; Jack Schatz; Nicholas Schwartz; David Taylor
New Jersey City University,https://www.njcu.edu/,1,1,Robert Edwards
Northern Illinois University,https://www.niu.edu/index.shtml,3,3,Tom Garling; Andrew Glendening; Timothy Riordan
Northwestern University,https://www.northwestern.edu,4,4,Reed Capshaw; Randall Hawes; Michael Mulcahy; R. Douglas Wright
Peabody Conservatory,http://www.peabody.jhu.edu/,1,1,David Murray
Portland State University,http://www.pdx.edu,1,1,Li Kuang
Rice University,https://rice.edu,1,2,Allen Barnhill
San Francisco Conservatory of Music,https://www.sfcm.edu,4,4,Christopher Bassett; John Engelkes; Timothy Higgins; Paul Welcomer
Shepherd University,https://www.shepherd.edu/,1,1,Dr. James Martin
Southern Methodist University,http://www.smu.edu,3,3,Barry Hearn; Chris Oliver; Darren McHenry
Stetson University,https://www.stetson.edu,1,1,Dunwoody Mirvil
Texas A&M University-Commerce,http://etamu.edu,1,1,Megan Boutin DMA
The College of New Jersey,https://tcnj.edu/,2,2,Douglas Beavers; Robert Gale
West Chester University of Pennsylvania,http://www.wcupa.edu,2,2,Daniel Cherry; Paul Bryan
Western Connecticut State University,https://www.wcsu.edu/,2,2,Dr. Luis Fernando Jiménez; Ms. Deborah Weisz
Wheaton College Conservatory of Music,http://wheaton.edu/Conservatory,1,1,Ignacio del Rey
William Paterson University,https://www.wpunj.edu/,3,6,Gary Capetandes; John Mosca; Ed Neumeister
