University Name,URL,Type
Adelphi University,http://adelphi.edu,University
Appalachian State University,http://www.appstate.edu,University
Austin Peay State University,http://www.apsu.edu,University
Baldwin-Wallace Conservatory of Music,http://www.bw.edu/academics/conservatory,Conservatory
Ball State University,http://www.bsu.edu,University
Bard College Conservatory of Music,,Conservatory
Belmont University,http://www.belmont.edu,University
Berklee College of Music,https://berklee.edu,University
"Blair School of Music, Vanderbilt University",https://www.vanderbilt.edu/,University
Bob Jones University,http://www.bju.edu,University
Boston Conservatory at Berklee,https://bostonconservatory.berklee.edu,Conservatory
Boston University,https://bu.edu/,University
Bowling Green State University,https://bgsu.edu,University
Brevard College,https://brevard.edu/,University
Brigham Young University,https://www.byu.edu/,University
Butler University,http://butler.edu,University
California Institute of the Arts,https://calarts.edu/,University
"California State University, Chico",http://www.csuchico.edu/,University
"California State University, Long Beach",http://csulb.edu,University
"California State University, Northridge",http://www.csun.edu/music,University
"California State University, Sacramento",https://www.csus.edu/,University
"California State University, Stanislaus",https://www.csustan.edu/,University
Campbellsville University,http://www.campbellsville.edu,University
Capital University,https://www.capital.edu/,University
Carnegie Mellon School of Music,,University
Catholic University's Benjamin T. Rome School of Music,https://music.catholic.edu/,University
Central Michigan University,https://cmich.edu,University
Central Washington University,https://www.cwu.edu/,University
Chicago College of Performing Arts,,University
Christopher Newport University,http://www.cnu.edu,University
City College of New York,https://ccny.cuny.edu,University
Cleveland Institute of Music,http://www.cim.edu/,University
Cleveland State University,http://www.csuohio.edu,University
Colorado State University,https://www.colostate.edu,University
Conservatory of Music of Puerto Rico,,Conservatory
Converse University,https://www.converse.edu/,University
Cornish College of the Arts,http://www.cornish.edu/,University
Crane School of Music,http://www.potsdam.edu/CRANE,University
Crown College of the Bible,http://thecrowncollege.edu,University
Curtis Institute of Music,http://curtis.edu,University
DePaul University,http://depaul.edu,University
DePauw University,https://depauw.edu,University
Duquesne University,http://www.duq.edu,University
East Carolina University,http://ecu.edu,University
East Central University,https://www.ecok.edu/,University
Eastman School of Music,http://www.esm.rochester.edu,University
Five Towns College,http://www.ftc.edu,University
Florida Atlantic University,http://fau.edu,University
Florida State University College of Music,http://www.music.fsu.edu,University
Full Sail University,http://fullsail.edu,University
Furman University,http://www.furman.edu,University
George Mason University,https://www.gmu.edu/,University
Gettysburg College,http://www.gettysburg.edu,University
Hartt School of Music,http://www.hartford.edu/hartt,University
High Point University,http://www.highpoint.edu,University
Houston Christian University,http://www.hc.edu,University
Hunter College,https://hunter.cuny.edu/,University
Idaho State University,http://isu.edu,University
Illinois State University,https://illinoisstate.edu,University
